Tahun,Bulan,Hari,Kec_angin,T_max,T_min,Curah_hujan,Kelembapan,Tekanan_udara
2011,5,27,0.72,29.35,24.24,14.97,19.59,100.71
2011,5,28,0.72,29.24,23.99,5.45,19.78,100.75
2011,5,29,0.67,29.25,24.16,3.54,19.59,100.85
2011,5,30,0.77,29.09,24.18,0.39,19.41,100.88
2011,5,31,0.84,29.76,23.16,0.08,18.98,100.77
2011,6,1,0.62,30.22,23.57,0.03,19.41,100.74
2011,6,2,0.73,30.3,23.87,3.25,19.96,100.79
2011,6,3,0.59,29.88,24.62,0.92,19.9,100.75
2011,6,4,0.7,29.78,24.58,14.34,20.08,100.75
2011,6,5,0.78,28.91,24.37,21.54,19.9,100.83
2011,6,6,0.66,27.81,23.98,2.45,18.49,100.87
2011,6,7,0.57,30.49,23.24,0.82,18.92,100.83
2011,6,8,0.84,29.15,23.62,0.06,19.17,100.86
2011,6,9,0.94,30.17,23.85,1.73,19.29,100.76
2011,6,10,1.04,30.18,23.48,1.37,19.04,100.71
2011,6,11,0.78,29.2,23.37,4.55,18.37,100.8
2011,6,12,0.85,30.04,23.95,18.71,19.35,100.83
2011,6,13,0.74,29.51,23.73,7.34,19.1,100.87
2011,6,14,0.65,29.63,23.37,0.38,18.92,100.93
2011,6,15,0.84,29.78,23.59,0.6,19.35,100.91
2011,6,16,0.68,29.59,23.44,11.49,18.8,100.97
2011,6,17,0.96,29.08,23.21,0.49,18.13,100.97
2011,6,18,0.87,30.19,22.12,0.02,17.88,100.83
2011,6,19,0.88,28.9,22.43,0.0,17.58,100.8
2011,6,20,0.97,30.16,22.48,0.0,18.25,100.8
2011,6,21,0.89,29.36,22.73,0.0,18.55,100.8
2011,6,22,0.7,30.81,23.4,0.92,19.29,100.64
2011,6,23,0.73,28.19,24.24,3.0,18.8,100.63
2011,6,24,0.87,29.76,22.43,4.54,18.74,100.63
2011,6,25,1.14,30.34,23.15,1.26,18.74,100.68
2011,6,26,1.05,30.07,21.7,0.04,18.19,100.78
2011,6,27,0.81,27.75,23.36,27.82,19.35,100.78
2011,6,28,0.7,29.26,23.26,11.43,18.74,100.86
2011,6,29,0.86,29.06,22.89,24.65,18.49,100.87
2011,6,30,0.77,26.87,23.08,11.97,17.82,100.97
2011,7,1,0.61,27.45,22.33,0.82,17.03,100.89
2011,7,2,0.81,29.94,21.73,0.48,18.07,100.81
2011,7,3,0.77,30.23,22.66,1.0,18.31,100.86
2011,7,4,0.8,29.84,23.33,0.11,18.49,100.97
2011,7,5,0.92,30.19,22.84,0.0,18.55,100.91
2011,7,6,0.99,29.97,23.25,0.1,18.74,100.82
2011,7,7,1.12,30.01,23.51,0.08,18.43,100.91
2011,7,8,1.06,30.3,22.95,0.01,18.55,100.94
2011,7,9,1.0,30.15,23.14,0.07,18.31,100.83
